,revenue,cogs,sga,rnd,operating_income,depreciation,capex,working_capital,gross_profit,gross_margin,operating_margin,cogs_ratio,sga_ratio,rnd_ratio,roic_proxy
2021-03-31,,,0,0,,,,0,,,,,,,
2022-03-31,31379507000000.0,-25407834000000.0,0,0,2995696000000.0,-1821880000000.0,3830244000000.0,0,5971673000000.0,0.1903048699904686,0.09546663687227464,-0.8096951300095314,0.0,0.0,1.1187075649633234
2023-03-31,37154298000000.0,-30841282000000.0,0,0,2725026000000.0,-2039904000000.0,3705832000000.0,0,6313016000000.0,0.16991347811227653,0.07334349312695937,-0.8300865218877235,0.0,0.0,0.5562349154612644
2024-03-31,45095325000000.0,-35727007000000.0,0,0,5352935000000.0,-2087066000000.0,5048394000000.0,0,9368318000000.0,0.20774477176957923,0.11870265931113702,-0.7922552282304208,0.0,0.0,0.6050227785798463
2025-03-31,48036704000000.0,-38458666000000.0,0,0,4795586000000.0,-2251233000000.0,5257927000000.0,0,9578038000000.0,0.19938999145320213,0.09983170369057794,-0.8006100085467979,0.0,0.0,0.3730110324140035
